Director,Year,Title
"Buñuel, Luis",1970,Tristana
"Buñuel, Luis",1930,L'age d'or
"Buñuel, Luis",1967,Belle de Jour
"Bergmann, Ingmar",1975,Wilde Erdbeeren
"Bergmann, Ingmar",1961,Wie in einem Spiegel
"Bergmann, Ingmar",1982,Fanny und Alexander
"Bogdanovich, Peter",1973,The Last Picture Show
"Bogdanovich, Peter",1979,Saint Jack
"Bogdanovich, Peter",1973,Paper Moon
"Coppola, Francis Ford",1972,The Godfather
"Coppola, Francis Ford",1974,The Conversation
"Coppola, Francis Ford",1979,Apocalypse Now
"Chaplin, Charles",1925,The Gold Rush
"Chaplin, Charles",1940,The Great Dictatro
"Chaplin, Charles",1936,Modern Times
"Capra, Frank",1944,Arsenic and Old Lace
"Capra, Frank",1939,Mr. Smith Goes to Washington
"Capra, Frank",1946,It’s a Wonderful Life
"Almodóvar, Pedro",2006,Volver
"Almodóvar, Pedro",1999,Todo sobre mi madre
"Almodóvar, Pedro",2004,La mala educación
"Allen, Woody",1975,Love and Death
"Allen, Woody",1977,Annie Hall 
"Allen, Woody",1979,Manhattan
"Akerman, Chantal",1973,Hotel Monterey  
"Akerman, Chantal",1974,"Je, Tu, Il, Elle"
"Akerman, Chantal",1968,Saute ma ville 
